Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-1.48495668534058E-06,-0.000238812326158064,0.0284834557910923,0,0,0,1.06337100990969,0.00182018269048492,1.62969448812243E-06,5.39273116347979E-08,0.0018511192757068,5.61755560610277E-06,0.00290659564075768,0,0,0,0,0,0,package://tm5_900/meshes/base_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://tm5_900/meshes/base_link.STL,,TM5_900.stp-1/BASE-TM5A_ASM_4_ASM.stp-1,global_coordinate,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
link1,-0.00516494793761558,1.29347868833971E-07,0.0775207069569955,0,0,0,1.94965714846587,0.00335589560064489,5.68789617381223E-09,0.000490268020508015,0.00342353327257297,-1.3252223478313E-08,0.00374801295715322,0,0,0,0,0,0,package://tm5_900/meshes/link1.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://tm5_900/meshes/link1.STL,,TM5_900.stp-1/TM5A-900-WEB_ASM_3_ASM.stp-1/JOINT400-TM5A_ASM_7_ASM.stp-1,link1_coordinate,link1_z,link1_joint,revolute,0,0,0.066,0,0,-3.1416,base_link,0,0,-1,150,3.141,-4.712,4.712,,,0.1,0.1,,,,
link2,-0.214499999982965,-1.83535523067837E-12,-0.0781767729057183,0,0,0,6.39945081294923,0.0101248268504038,-1.13284667839023E-08,2.93276969549894E-11,0.0301358151504039,-3.26331229885022E-12,0.0307847743423269,0,0,0,0,0,0,package://tm5_900/meshes/link2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://tm5_900/meshes/link2.STL,,TM5_900.stp-1/TM5A-900-WEB_ASM_3_ASM.stp-1/AM1900_3.stp-1;TM5_900.stp-1/TM5A-900-WEB_ASM_3_ASM.stp-1/JOINT400-TM5A_ASM_7_ASM.stp-2;TM5_900.stp-1/TM5A-900-WEB_ASM_3_ASM.stp-1/JOINT400-TM5A_ASM_7_ASM.stp-3,link2_coordinate,link2_z,link2_joint,revolute,-0.0668,0,0.0792,0,1.5708,0,link1,0,0,1,150,3.141,-3.141,3.141,,,0.1,0.1,,,,
link3,0.212356927740806,-3.15611513455841E-07,-0.0447686190460576,0,0,0,2.9387555431884,0.00273488031058713,1.27333587976847E-07,5.10335419167224E-05,0.0142009098717494,-1.04728421540402E-07,0.0143505049508183,0,0,0,0,0,0,package://tm5_900/meshes/link3.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://tm5_900/meshes/link3.STL,,TM5_900.stp-1/TM5A-900-WEB_ASM_3_ASM.stp-1/JOINT_L_2.stp-1;TM5_900.stp-1/TM5A-900-WEB_ASM_3_ASM.stp-1/ARM2900_3.stp-1;TM5_900.stp-1/TM5A-900-OMRON.stp-1;TM5_900.stp-1/TM5A-900-WEB_ASM_3_ASM.stp-1/JOINT100-TM5A_ASM_8_ASM.stp-1,link3_coordinate,link3_z,link3_joint,revolute,-0.429,0,0.0023,3.1416,0,-3.1416,link2,0,0,1,150,3.141,-2.705,2.705,,,0.1,0.1,,,,
link4,6.3866835542048E-05,-3.94230864519756E-06,-0.0433846777594182,0,0,0,0.784297051234809,0.000826347384385203,-6.01135094073843E-08,0.000112740432098354,0.000778187843350165,-1.07898225643195E-07,0.000765210551072785,0,0,0,0,0,0,package://tm5_900/meshes/link4.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://tm5_900/meshes/link4.STL,,TM5_900.stp-1/TM5A-900-WEB_ASM_3_ASM.stp-1/JOINT100-TM5A_ASM_8_ASM.stp-2,link4_coordinate,link4_z,link4_joint,revolute,0.4115,0,0.0103,3.1416,0,0,link3,0,0,1,150,3.927,-3.141,3.141,,,0.1,0.1,,,,
link5,6.38668368797835E-05,-3.94231111777195E-06,-0.0433846777590234,0,0,0,0.784297051180995,0.000826347384316573,-6.01135720815736E-08,0.0001127404321188,0.00077818784330614,-1.07898241598332E-07,0.000765210550951003,0,0,0,0,0,0,package://tm5_900/meshes/link5.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://tm5_900/meshes/link5.STL,,TM5_900.stp-1/TM5A-900-WEB_ASM_3_ASM.stp-1/JOINT100-TM5A_ASM_8_ASM.stp-3,link5_coordinate,link5_z,link5_joint,revolute,0.0585,0,-0.0475,3.1416,1.5708,0,link4,0,0,1,150,3.927,-3.141,3.141,,,0.1,0.1,,,,
" link6",0.0420492553811247,-3.44480557987348E-06,-0.038295868274448,0,0,0,0.667415031682745,0.000380040901751517,1.87523106814217E-06,1.43853655270255E-05,0.000835724497654183,-7.26734544985846E-07,0.000952325359537611,0,0,0,0,0,0,package://tm5_900/meshes/ link6.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://tm5_900/meshes/ link6.STL,,TM5_900.stp-1/TM5A-900-WEB_ASM_3_ASM.stp-1/IOM-1_ASM_3_ASM.stp-1,link6_coordinate,link6_z,link6_joint,revolute,0.0585,0,-0.0475,3.1416,1.5708,0,link5,0,0,1,150,3.927,-4.712,4.712,,,0.1,0.1,,,,
